Elapsed Time since Epoch[min],ECI: X[km],ECI: Y[km],ECI: Z[km],Julian Date[days],GMST[deg],Geocentric Latitude[deg],Geocentric Longitude[deg],Geocentric Height[km],Geodetic Latitude[deg],Geodetic Longitude[deg],Geodetic Height[km]
80,749.52767220,-4429.10399228,-5082.95118403,2461163.70722055,295.71347292,-48.53124114,-16.10843230,405.30951671,-48.71039105,-16.10843230,417.34084260
81,714.20700877,-4766.47895636,-4772.90004423,2461163.70791499,295.96415736,-44.72052854,-17.44238340,404.92927750,-44.90116043,-17.44238340,415.54204385
82,675.61068583,-5081.99263539,-4440.89546623,2461163.70860943,296.21484179,-40.90003019,-18.64222499,404.53588662,-41.07894427,-18.64222499,413.72744889
83,633.91370542,-5374.18278029,-4088.45127343,2461163.70930388,296.46552623,-37.07177527,-19.73826641,404.12817891,-37.24577502,-19.73826641,411.92199015
84,589.30554351,-5641.69240601,-3717.17743594,2461163.70999832,296.71621067,-33.23726524,-20.75297940,403.70510358,-33.40322054,-20.75297940,410.15036014
85,541.98932816,-5883.27645211,-3328.77296600,2461163.71069277,296.96689527,-29.39764232,-21.70345112,403.26578283,-29.55255072,-21.70345112,408.43659221
86,492.18094501,-6097.80797436,-2925.01832163,2461163.71138721,297.21757971,-25.55379911,-22.60298865,402.80956790,-25.69484430,-22.60298865,406.80364934
87,440.10807305,-6284.28382241,-2507.76734688,2461163.71208166,297.46826414,-21.70645195,-23.46220219,402.33609136,-21.83105874,-23.46220219,405.27302925
88,386.00915416,-6441.82976012,-2078.93878225,2461163.71277610,297.71894858,-17.85619164,-24.28975505,401.84531457,-17.96207629,-24.28975505,403.86439370
89,330.13230108,-6569.70498714,-1640.50738448,2461163.71347055,297.96963302,-14.00351930,-25.09289951,401.33756908,-14.08873445,-25.09289951,402.59522961
90,272.73414879,-6667.30602371,-1194.49469971,2461163.71416499,298.22031745,-10.14887266,-25.87787085,400.81359116,-10.21184578,-25.87787085,401.48054935
91,214.07865522,-6734.16992454,-742.95953928,2461163.71485943,298.47100189,-6.29264591,-26.65018743,400.27454846,-6.33221053,-26.65018743,400.53263679
92,154.43585788,-6769.97679234,-287.98821130,2461163.71555388,298.72168633,-2.43520525,-27.41488887,399.72205821,-2.45062443,-27.41488887,399.76084458
93,94.08059331,-6774.55156710,168.31543484,2461163.71624832,298.97237076,1.42309806,-28.17673516,399.15819639,1.43211645,-28.17673516,399.17144646
94,33.29118713,-6747.86507311,623.84009106,2461163.71694277,299.22305520,5.28191638,-28.94038371,398.58549744,5.31521477,-28.94038371,398.76755509
95,-27.65187748,-6690.03431224,1076.47713834,2461163.71763721,299.47373963,9.14089471,-29.71055858,398.00694436,9.19786633,-29.71055858,398.54908550
96,-88.46730458,-6601.32199866,1524.13079626,2461163.71833166,299.72442424,12.99965951,-30.49222496,397.42594916,13.07926131,-30.49222496,398.51280130
97,-148.87433516,-6482.13533704,1964.72821113,2461163.71902610,299.97510868,16.85780622,-31.29078188,396.84632389,16.95857864,-31.29078188,398.65240614
98,-208.59409341,-6333.02405306,2396.22941973,2461163.71972055,300.22579311,20.71488434,-32.11229187,396.27224247,20.83497964,-32.11229187,398.95870007
99,-267.35092114,-6154.67769155,2816.63712793,2461163.72041499,300.47647755,24.57037879,-32.96376550,395.70819401,24.70759699,-32.96376550,399.41978979
100,-324.87369238,-5947.92220398,3224.00624557,2461163.72110943,300.72716199,28.42368526,-33.85353344,395.15892829,28.57551708,-33.85353344,400.02134893
101,-380.89710051,-5713.71585242,3616.45312240,2461163.72180388,300.97784642,32.27407679,-34.79174865,394.62939416,32.43775254,-34.79174865,400.74692242
102,-435.16291037,-5453.14446235,3992.16443413,2461163.72249832,301.22853086,36.12065679,-35.79108635,394.12467207,36.29320049,-35.79108635,401.57826804
103,-487.42116901,-5167.41606101,4349.40567181,2461163.72319277,301.47921529,39.96229128,-36.86774772,393.64990166,40.14057885,-36.86774772,402.49572783
104,-537.43136844,-4857.85494125,4686.52919291,2461163.72388721,301.72989973,43.79750820,-38.04294069,393.21020584,43.97832895,-38.04294069,403.47862119
105,-584.96355529,-4525.89519391,5001.98179775,2461163.72458166,301.98058417,47.62434337,-39.34513000,392.81061258,47.80446386,-39.34513000,404.50565173
106,-629.79938216,-4173.07375317,5294.31179980,2461163.72527610,302.23126860,51.44009688,-40.81356724,392.45597586,51.61632649,-40.81356724,405.55531962
107,-671.73309671,-3801.02300067,5562.17556403,2461163.72597055,302.48195321,55.24093305,-42.50402951,392.15089712,55.41019123,-42.50402951,406.60633142
108,-710.57246477,-3411.46297412,5804.34349209,2461163.72666499,302.73263764,59.02119489,-44.49852838,391.89964877,59.18058061,-44.49852838,407.63799986
109,-746.13962465,-3006.19322609,6019.70543797,2461163.72735943,302.98332208,62.77216846,-46.92250299,391.70610099,62.91903435,-46.92250299,408.63062622
110,-778.27187013,-2587.08437719,6207.27554177,2461163.72805388,303.23400652,66.47972087,-49.97685499,391.57365334,66.61175815,-49.97685499,409.56585890
111,-806.82236045,-2156.06940680,6366.19647301,2461163.72874832,303.48469095,70.11946160,-54.00103398,391.50517232,70.23481022,-54.00103398,410.42702213
112,-831.66075578,-1715.13472246,6495.74307802,2461163.72944277,303.73537539,73.64601346,-59.60390365,391.50293611,73.74343343,-59.60390365,411.19939982
113,-852.67377699,-1266.31104728,6595.32542823,2461163.73013721,303.98605983,76.96719329,-67.94051407,391.56858759,77.04639039,-67.94051407,411.87053450
114,-869.76568918,-811.66416262,6664.49126826,2461163.73083166,304.23674426,79.87889146,-81.21580288,391.70309647,79.94123963,-81.21580288,412.43035949
115,-882.85870811,-353.28554130,6702.92786403,2461163.73152610,304.48742870,81.92553164,-102.67807199,391.90673121,81.97564564,-102.67807199,412.87142704
116,-891.89332935,106.71709471,6710.46325178,2461163.73222055,304.73811314,82.37577288,-131.56124721,392.17904156,82.42315795,-131.56124721,413.18900417
117,-896.82857954,566.22926002,6687.06688969,2461163.73291499,304.98879757,80.98751510,-157.25581906,392.51885177,81.04326548,-157.25581906,413.38113863
118,-897.64218961,1023.13920347,6632.84971354,2461163.73360943,305.23948201,78.40360639,-173.97767092,392.92426487,78.47456833,-173.97767092,413.44867431
119,-894.33068959,1475.34738695,6548.06359810,2461163.73430388,305.49016661,75.23947942,175.73336991,393.39267795,75.32827872,175.73336991,413.39521605
120,-886.90942460,1920.77591465,6433.10022589,2461163.73499832,305.74085105,71.79551950,169.04406284,393.92080823,71.90250858,169.04406284,413.22705886
121,-875.41249178,2357.37788153,6288.48936464,2461163.73569277,305.99153549,68.20427190,164.38094819,394.50472951,68.32859486,164.38094819,412.95300906
122,-859.89259777,2783.14660925,6114.89655555,2461163.73638721,306.24221992,64.52823997,160.92705539,395.13991841,64.66829971,160.92705539,412.58425748
123,-840.42083646,3196.12473637,5913.12021424,2461163.73708166,306.49290436,60.79969582,158.23951515,395.82130965,60.95338029,158.23951515,412.13412366
124,-817.08638686,3594.41312826,5684.08814788,2461163.73777610,306.74358880,57.03671350,156.06331935,396.54335948,57.20152793,156.06331935,411.61779679
125,-789.99613090,3976.17957080,5428.85349300,2461163.73847055,306.99427323,53.25012255,154.24304088,397.30011613,53.42328346,154.24304088,411.05203368
126,-759.27419161,4339.66720990,5148.59008041,2461163.73916499,307.24495767,49.44678253,152.67914117,398.08529615,49.62529560,152.67914117,410.45482521
127,-725.06139185,4683.20269765,4844.58723629,2461163.73985943,307.49564211,45.63124351,151.30511432,398.89236538,45.81197442,151.30511432,409.84503681
128,-687.51463464,5005.20400427,4518.24403147,2461163.74055388,307.74632654,41.80664359,150.07487515,399.71462313,41.98638559,150.07487515,409.24202927
129,-646.80620636,5304.18785427,4171.06299428,2461163.74124832,307.99701098,37.97522087,148.95545719,400.54528819,38.15076051,148.95545719,408.66526651
130,-603.12300453,5578.77674448,3804.64330653,2461163.74194277,308.24769558,34.13861936,147.92260138,401.37758537,34.30680047,147.92260138,408.13391752
131,-556.66569257,5827.70550155,3420.67350641,2461163.74263721,308.49838002,30.29807931,146.95799014,402.20483088,30.45586487,146.95799014,407.66646024
132,-507.64778466,6049.82733755,3020.92372665,2461163.74333166,308.74906446,26.45455969,146.04745206,403.02051547,26.59909087,146.04745206,407.28029483
133,-456.29466412,6244.11936309,2607.23750092,2461163.74402610,308.99974889,22.60881970,145.17976288,403.81838375,22.73747118,145.17976288,406.99137459
134,-402.84253970,6409.68752005,2181.52317650,2461163.74472055,309.25043333,18.76147450,144.34581982,404.59250855,18.87190515,144.34581982,406.81386186
135,-347.53734477,6545.77089853,1745.74497519,2461163.74541499,309.50111776,14.91303444,143.53805738,405.33735909,15.00323247,143.53805738,406.75981652
136,-290.63358485,6651.74540637,1301.91374933,2461163.74610943,309.75180220,11.06393359,142.75002135,406.04786205,11.13225526,142.75002135,406.83892385
137,-232.39313970,6727.12676394,852.07748314,2461163.74680388,310.00248664,7.21455098,141.97604797,406.71945440,7.25975221,141.97604797,407.05826779
138,-173.08402662,6771.57280173,398.31159323,2461163.74749832,310.25317107,3.36522731,141.21101246,407.34812744,3.38648743,141.21101246,407.42215485
139,-112.97913205,6784.88504379,-57.29091558,2461163.74819277,310.50385551,-0.48372149,140.45012222,407.93046141,-0.48678405,140.45012222,407.93199255
