UTC-Time on 20.06.2025,Julian Date [days],ECI X-Position [km],ECI Y-Position [km],ECI Z-Position [km]
16:02:00,2460847.1680555558,-2320.4025878906,4569.1757812500,-4515.6347656250
16:02:30,2460847.1684027780,-2215.8950195312,4451.9418945312,-4682.3569335938
16:03:00,2460847.1687500002,-2108.8974609375,4329.7055664062,-4843.8022460938
16:03:30,2460847.1690972224,-1999.5307617188,4202.6049804688,-4999.7905273438
16:04:00,2460847.1694444446,-1887.9184570312,4070.7844238281,-5150.1474609375
16:04:30,2460847.1697916668,-1774.1865234375,3934.3935546875,-5294.7055664062
16:05:00,2460847.1701388890,-1658.4631347656,3793.5861816406,-5433.3041992188
16:05:30,2460847.1704861112,-1540.8786621094,3648.5219726562,-5565.7880859375
16:06:00,2460847.1708333334,-1421.5656738281,3499.3645019531,-5692.0102539062
16:06:30,2460847.1711805556,-1300.6583251953,3346.2824707031,-5811.8305664062
16:07:00,2460847.1715277778,-1178.2926025391,3189.4479980469,-5925.1157226562
16:07:30,2460847.1718750000,-1054.6060791016,3029.0383300781,-6031.7397460938
16:08:00,2460847.1722222222,-929.7376098633,2865.2338867188,-6131.5844726562
16:08:30,2460847.1725694444,-803.8273925781,2698.2187500000,-6224.5390625000
16:09:00,2460847.1729166666,-677.0167846680,2528.1809082031,-6310.5009765625
16:09:30,2460847.1732638888,-549.4478759766,2355.3115234375,-6389.3750000000
16:10:00,2460847.1736111110,-421.2637023926,2179.8044433594,-6461.0732421875
16:10:30,2460847.1739583332,-292.6079406738,2001.8566894531,-6525.5170898438
16:11:00,2460847.1743055554,-163.6246643066,1821.6679687500,-6582.6352539062
16:11:30,2460847.1746527776,-34.4582672119,1639.4401855469,-6632.3642578125
16:12:00,2460847.1749999998,94.7466430664,1455.3776855469,-6674.6494140625
16:12:30,2460847.1753472220,223.8454895020,1269.6864013672,-6709.4443359375
16:13:00,2460847.1756944442,352.6938171387,1082.5744628906,-6736.7099609375
16:13:30,2460847.1760416669,481.1475219727,894.2512817383,-6756.4174804688
16:14:00,2460847.1763888891,609.0628662109,704.9276123047,-6768.5444335938
16:14:30,2460847.1767361113,736.2968139648,514.8153076172,-6773.0781250000
16:15:00,2460847.1770833335,862.7070312500,324.1270446777,-6770.0126953125
16:15:30,2460847.1774305557,988.1520996094,133.0761871338,-6759.3530273438
16:16:00,2460847.1777777779,1112.4916992188,-58.1235771179,-6741.1098632812
16:16:30,2460847.1781250001,1235.5867919922,-249.2583312988,-6715.3046875000
16:17:00,2460847.1784722223,1357.2995605469,-440.1142578125,-6681.9648437500
16:17:30,2460847.1788194445,1477.4936523438,-630.4778442383,-6641.1284179688
16:18:00,2460847.1791666667,1596.0346679688,-820.1359863281,-6592.8408203125
16:18:30,2460847.1795138889,1712.7897949219,-1008.8764648438,-6537.1542968750
16:19:00,2460847.1798611111,1827.6280517578,-1196.4880371094,-6474.1323242188
16:19:30,2460847.1802083333,1940.4208984375,-1382.7604980469,-6403.8432617188
16:20:00,2460847.1805555555,2051.0417480469,-1567.4851074219,-6326.3662109375
16:20:30,2460847.1809027777,2159.3662109375,-1750.4550781250,-6241.7866210938
16:21:00,2460847.1812499999,2265.2729492188,-1931.4650878906,-6150.1982421875
16:21:30,2460847.1815972221,2368.6428222656,-2110.3120117188,-6051.7031250000
16:22:00,2460847.1819444443,2469.3596191406,-2286.7954101562,-5946.4101562500
16:22:30,2460847.1822916665,2567.3100585938,-2460.7170410156,-5834.4365234375
16:23:00,2460847.1826388887,2662.3837890625,-2631.8813476562,-5715.9072265625
16:23:30,2460847.1829861109,2754.4736328125,-2800.0959472656,-5590.9536132812
16:24:00,2460847.1833333331,2843.4755859375,-2965.1716308594,-5459.7143554688
16:24:30,2460847.1836805558,2929.2893066406,-3126.9226074219,-5322.3364257812
16:25:00,2460847.1840277780,3011.8176269531,-3285.1667480469,-5178.9721679688
16:25:30,2460847.1843750002,3090.9672851562,-3439.7255859375,-5029.7817382812
16:26:00,2460847.1847222224,3166.6486816406,-3590.4248046875,-4874.9311523438
16:26:30,2460847.1850694446,3238.7758789062,-3737.0942382812,-4714.5937500000
16:27:00,2460847.1854166668,3307.2668457031,-3879.5681152344,-4548.9487304688
16:27:30,2460847.1857638890,3372.0439453125,-4017.6855468750,-4378.1806640625
16:28:00,2460847.1861111112,3433.0332031250,-4151.2900390625,-4202.4809570312
16:28:30,2460847.1864583334,3490.1652832031,-4280.2304687500,-4022.0461425781
16:29:00,2460847.1868055556,3543.3750000000,-4404.3603515625,-3837.0781250000
16:29:30,2460847.1871527778,3592.6013183594,-4523.5390625000,-3647.7846679688
16:30:00,2460847.1875000000,3637.7880859375,-4637.6313476562,-3454.3776855469
16:30:30,2460847.1878472222,3678.8830566406,-4746.5073242188,-3257.0744628906
16:31:00,2460847.1881944444,3715.8391113281,-4850.0434570312,-3056.0964355469
16:31:30,2460847.1885416666,3748.6137695312,-4948.1215820312,-2851.6696777344
16:32:00,2460847.1888888888,3777.1687011719,-5040.6303710938,-2644.0239257812
16:32:30,2460847.1892361110,3801.4711914062,-5127.4638671875,-2433.3928222656
16:33:00,2460847.1895833332,3821.4924316406,-5208.5234375000,-2220.0136718750
16:33:30,2460847.1899305554,3837.2092285156,-5283.7153320312,-2004.1268310547
16:34:00,2460847.1902777776,3848.6027832031,-5352.9550781250,-1785.9755859375
16:34:30,2460847.1906249998,3855.6594238281,-5416.1621093750,-1565.8060302734
16:35:00,2460847.1909722220,3858.3701171875,-5473.2646484375,-1343.8665771484
16:35:30,2460847.1913194442,3856.7309570312,-5524.1967773438,-1120.4078369141
16:36:00,2460847.1916666669,3850.7431640625,-5568.8999023438,-895.6821899414
16:36:30,2460847.1920138891,3840.4125976562,-5607.3227539062,-669.9435424805
16:37:00,2460847.1923611113,3825.7502441406,-5639.4208984375,-443.4471435547
16:37:30,2460847.1927083335,3806.7719726562,-5665.1567382812,-216.4490203857
16:38:00,2460847.1930555557,3783.4985351562,-5684.5009765625,10.7939996719
16:38:30,2460847.1934027779,3755.9558105469,-5697.4306640625,238.0248107910
16:39:00,2460847.1937500001,3724.1743164062,-5703.9301757812,464.9862365723
16:39:30,2460847.1940972223,3688.1892089844,-5703.9921875000,691.4213867188
16:40:00,2460847.1944444445,3648.0410156250,-5697.6152343750,917.0737915039
16:40:30,2460847.1947916667,3603.7744140625,-5684.8066406250,1141.6879882812
16:41:00,2460847.1951388889,3555.4394531250,-5665.5800781250,1365.0097656250
16:41:30,2460847.1954861111,3503.0903320312,-5639.9565429688,1586.7858886719
16:42:00,2460847.1958333333,3446.7856445312,-5607.9653320312,1806.7653808594
16:42:30,2460847.1961805555,3386.5893554688,-5569.6416015625,2024.6989746094
16:43:00,2460847.1965277777,3322.5690917969,-5525.0292968750,2240.3398437500
16:43:30,2460847.1968749999,3254.7971191406,-5474.1782226562,2453.4440917969
16:44:00,2460847.1972222221,3183.3498535156,-5417.1455078125,2663.7697753906
16:44:30,2460847.1975694443,3108.3081054688,-5353.9965820312,2871.0793457031
16:45:00,2460847.1979166665,3029.7565917969,-5284.8017578125,3075.1379394531
16:45:30,2460847.1982638887,2947.7841796875,-5209.6396484375,3275.7141113281
16:46:00,2460847.1986111109,2862.4836425781,-5128.5957031250,3472.5815429688
16:46:30,2460847.1989583331,2773.9511718750,-5041.7612304688,3665.5173339844
16:47:00,2460847.1993055558,2682.2871093750,-4949.2348632812,3854.3027343750
16:47:30,2460847.1996527780,2587.5949707031,-4851.1210937500,4038.7248535156
16:48:00,2460847.2000000002,2489.9816894531,-4747.5317382812,4218.5751953125
16:48:30,2460847.2003472224,2389.5581054688,-4638.5830078125,4393.6499023438
16:49:00,2460847.2006944446,2286.4375000000,-4524.3989257812,4563.7514648438
16:49:30,2460847.2010416668,2180.7365722656,-4405.1088867188,4728.6879882812
16:50:00,2460847.2013888890,2072.5744628906,-4280.8476562500,4888.2734375000
16:50:30,2460847.2017361112,1962.0739746094,-4151.7558593750,5042.3266601562
16:51:00,2460847.2020833334,1849.3596191406,-4017.9794921875,5190.6748046875
16:51:30,2460847.2024305556,1734.5589599609,-3879.6701660156,5333.1503906250
16:52:00,2460847.2027777778,1617.8015136719,-3736.9843750000,5469.5922851562
16:52:30,2460847.2031250000,1499.2192382812,-3590.0830078125,5599.8471679688
16:53:00,2460847.2034722222,1378.9460449219,-3439.1325683594,5723.7675781250
16:53:30,2460847.2038194444,1257.1177978516,-3284.3032226562,5841.2148437500
16:54:00,2460847.2041666666,1133.8719482422,-3125.7702636719,5952.0556640625
16:54:30,2460847.2045138888,1009.3474731445,-2963.7126464844,6056.1660156250
16:55:00,2460847.2048611110,883.6850585938,-2798.3132324219,6153.4287109375
16:55:30,2460847.2052083332,757.0263671875,-2629.7590332031,6243.7338867188
16:56:00,2460847.2055555554,629.5142822266,-2458.2399902344,6326.9799804688
16:56:30,2460847.2059027776,501.2926635742,-2283.9499511719,6403.0732421875
16:57:00,2460847.2062499998,372.5059814453,-2107.0852050781,6471.9282226562
16:57:30,2460847.2065972220,243.2994842529,-1927.8452148438,6533.4677734375
16:58:00,2460847.2069444442,113.8188247681,-1746.4324951172,6587.6220703125
16:58:30,2460847.2072916669,-15.7900657654,-1563.0513916016,6634.3300781250
16:59:00,2460847.2076388891,-145.3811035156,-1377.9085693359,6673.5400390625
16:59:30,2460847.2079861113,-274.8082275391,-1191.2127685547,6705.2075195312
17:00:00,2460847.2083333335,-403.9255981445,-1003.1744384766,6729.2958984375
