Julian Date [days],Satellite ECI X-Position [km],Satellite ECI Y-Position [km],Satellite ECI Z-Position [km],Ground Station ECI X-Position [km],Ground Station ECI Y-Position [km],Ground Station ECI Z-Position [km],SEZ-South Distance [km],SEZ-East Distance [km],SEZ-Zenith Distance [km],Slant Range [km],Azimuth [deg],Elevation [deg]
2460847.1295138891,3637.1462402344,-5700.7783203125,940.1849975586,-3408.0944824219,2327.0175781250,4847.2338867188,-5376.3313221196,2657.0719601108,-9663.3836975505,11373.0362864319,26.2993449398,-58.1763294866
2460847.1296296297,3622.7097167969,-5696.9863281250,1015.1469116211,-3409.7905273438,2324.5317382812,4847.2338867188,-5412.5160835952,2666.6044865815,-9595.8109930103,11335.1532171652,26.2282565766,-57.8387395171
2460847.1297453702,3607.8188476562,-5692.4794921875,1089.9810791016,-3411.4846191406,2322.0446777344,4847.2338867188,-5448.0167142442,2675.7796725250,-9527.8272850135,11296.9100088312,26.1578464016,-57.5010385372
2460847.1298611113,3592.4753417969,-5687.2587890625,1164.6782226562,-3413.1770019531,2319.5563964844,4847.2338867188,-5482.8286293460,2684.5959656396,-9459.4402069037,11258.3069022607,26.0880817988,-57.1632230492
2460847.1299768519,3576.6811523438,-5681.3242187500,1239.2287597656,-3414.8676757812,2317.0666503906,4847.2338867188,-5516.9475995063,2693.0495471468,-9390.6592911881,11219.3452840290,26.0189107077,-56.8252978119
2460847.1300925924,3560.4382324219,-5674.6772460938,1313.6234130859,-3416.5563964844,2314.5759277344,4847.2338867188,-5550.3705521533,2701.1403476900,-9321.4937697156,11180.0276628896,25.9503090333,-56.4872555533
2460847.1302083335,3543.7485351562,-5667.3183593750,1387.8527832031,-3418.2431640625,2312.0839843750,4847.2338867188,-5583.0929955138,2708.8656068641,-9251.9526333736,11140.3549226582,25.8822368767,-56.1490990893
2460847.1303240741,3526.6145019531,-5659.2485351562,1461.9074707031,-3419.9282226562,2309.5908203125,4847.2338867188,-5615.1117598862,2716.2223380269,-9182.0450318718,11100.3285912144,25.8146481970,-55.8108272523
2460847.1304398146,3509.0378417969,-5650.4682617188,1535.7783203125,-3421.6115722656,2307.0961914062,4847.2338867188,-5646.4222678596,2723.2087456611,-9111.7792442059,11059.9489734160,25.7475134839,-55.4724397490
2460847.1305555557,3491.0209960938,-5640.9794921875,1609.4559326172,-3423.2929687500,2304.6005859375,4847.2338867188,-5677.0220141213,2729.8235677363,-9041.1653016708,11019.2189229511,25.6808001573,-55.1339326689
2460847.1306712963,3472.5659179688,-5630.7827148438,1682.9310302734,-3424.9726562500,2302.1037597656,4847.2338867188,-5706.9069042297,2736.0643885954,-8970.2122114276,10978.1392717586,25.6144732724,-54.7953076406
2460847.1307870368,3453.6755371094,-5619.8798828125,1756.1943359375,-3426.6503906250,2299.6054687500,4847.2338867188,-5736.0738133863,2741.9287501594,-8898.9294808942,10936.7116616237,25.5484945242,-54.4565643761
2460847.1309027779,3434.3515625000,-5608.2714843750,1829.2366943359,-3428.3264160156,2297.1062011719,4847.2338867188,-5764.5191118383,2747.4161023541,-8827.3255509961,10894.9369990602,25.4828438144,-54.1176980228
2460847.1310185185,3414.5966796875,-5595.9594726562,1902.0489501953,-3430.0007324219,2294.6054687500,4847.2338867188,-5792.2401044243,2752.5226947721,-8755.4109319506,10852.8174774966,25.4174720957,-53.7787125961
2460847.1311342590,3394.4135742188,-5582.9453125000,1974.6218261719,-3431.6728515625,2292.1037597656,4847.2338867188,-5819.2332201751,2757.2486724261,-8683.1937946589,10810.3538326915,25.3523658677,-53.4396013883
2460847.1312500001,3373.8044433594,-5569.2309570312,2046.9462890625,-3433.3435058594,2289.6008300781,4847.2338867188,-5845.4964267269,2761.5922899563,-8610.6848901071,10767.5491513873,25.2874909548,-53.1003635740
2460847.1313657407,3352.7719726562,-5554.8173828125,2119.0131835938,-3435.0122070312,2287.0964355469,4847.2338867188,-5871.0255465375,2765.5503721133,-8537.8925157101,10724.4029408919,25.2228104509,-52.7610017090
2460847.1314814813,3331.3188476562,-5539.7070312500,2190.8132324219,-3436.6789550781,2284.5910644531,4847.2338867188,-5895.8182968158,2769.1221429131,-8464.8268909414,10680.9178034963,25.1582999818,-52.4215130745
2460847.1315972223,3309.4475097656,-5523.9018554688,2262.3378906250,-3438.3439941406,2282.0844726562,4847.2338867188,-5919.8722463782,2772.3073790782,-8391.4971505777,10637.0954703662,25.0939405100,-52.0818913392
2460847.1317129629,3287.1611328125,-5507.4033203125,2333.5778808594,-3440.0073242188,2279.5764160156,4847.2338867188,-5943.1845159465,2775.1022593563,-8317.9130096646,10592.9368721246,25.0296864750,-51.7421405503
